timestamp,choice,reward,load0,load1
08:05:46,0,0.50,174,165
08:05:48,1,10.00,175,165
08:05:50,0,0.50,175,166
08:05:51,1,10.00,176,166
08:05:53,1,10.00,176,167
08:05:55,1,10.00,176,168
08:05:56,1,10.00,176,169
08:05:58,1,10.00,176,170
08:05:59,1,10.00,176,171
08:06:01,1,10.00,176,172
08:06:03,1,10.00,176,173
08:06:04,1,10.00,176,174
08:06:06,1,10.00,176,175
08:06:07,1,10.00,176,176
08:06:09,1,10.00,176,177
08:06:11,1,10.00,176,178
08:06:12,1,10.00,176,179
08:06:14,1,10.00,176,180
08:06:15,1,10.00,176,181
08:06:17,1,10.00,176,182
08:06:19,1,0.50,176,183
08:06:21,1,0.50,176,184
08:06:22,0,10.00,176,185
08:06:24,0,10.00,177,185
08:06:25,0,10.00,178,185
08:06:27,0,10.00,179,185
08:06:29,0,10.00,180,185
08:06:30,0,10.00,181,185
08:06:32,0,10.00,182,185
08:06:33,0,10.00,183,185
08:06:35,0,10.00,184,185
08:06:37,0,10.00,185,185
08:06:38,0,10.00,186,185
08:06:40,0,10.00,187,185
08:06:41,0,10.00,188,185
08:06:43,0,10.00,189,185
08:06:45,0,10.00,190,185
08:06:46,0,10.00,191,185
08:06:48,0,10.00,192,185
08:06:50,0,0.50,193,185
08:06:51,1,1.00,194,185
08:06:53,0,0.50,194,186
08:06:55,1,10.00,195,186
08:06:56,0,0.50,195,187
08:06:58,1,10.00,196,187
08:07:00,1,10.00,196,188
08:07:01,1,10.00,196,189
08:07:03,1,10.00,196,190
08:07:04,1,10.00,196,191
08:07:06,1,10.00,196,192
08:07:08,1,10.00,196,193
08:07:09,1,10.00,196,194
08:07:11,1,10.00,196,195
08:07:12,1,10.00,196,196
08:07:14,1,10.00,196,197
08:07:16,1,10.00,196,198
08:07:17,1,10.00,196,199
08:07:19,1,10.00,196,200
08:07:20,1,10.00,196,201
08:07:22,1,10.00,196,202
08:07:24,1,1.00,196,203
08:07:26,1,0.50,196,204
08:07:27,0,10.00,196,205
08:07:29,0,10.00,197,205
08:07:30,0,10.00,198,205
08:07:32,0,10.00,199,205
08:07:34,0,10.00,200,205
08:07:35,0,10.00,201,205
08:07:37,0,10.00,202,205
08:07:38,0,10.00,203,205
08:07:40,0,10.00,204,205
08:07:42,0,10.00,205,205
